frame_num,tracker_id,xmin,ymin,xmax,ymax
45,2,1364,225,1594,558
45,3,1139,207,1314,656
45,5,1030,24,1191,411
45,6,698,266,861,618
46,1,1632,200,1813,545
46,2,1370,226,1602,559
46,3,1136,212,1312,666
46,5,1033,25,1193,409
46,6,699,260,861,617
47,1,1632,200,1813,546
47,2,1375,226,1606,557
47,3,1131,222,1311,684
47,5,1041,31,1194,392
47,6,703,254,864,615
48,1,1629,199,1812,547
48,2,1375,228,1605,556
48,3,1127,231,1308,695
48,5,1049,34,1200,383
48,6,707,251,865,612
49,1,1625,200,1811,550
49,2,1375,229,1605,556
49,3,1123,239,1304,701
49,5,1057,38,1204,372
49,6,712,247,868,610
50,1,1622,200,1809,552
50,2,1373,228,1605,556
50,3,1118,247,1299,711
50,5,1061,39,1208,369
50,6,718,246,870,608
51,1,1621,199,1810,553
51,2,1370,226,1606,558
51,3,1110,252,1288,712
51,5,1059,39,1211,373
51,6,726,247,874,606
52,1,1621,200,1810,552
52,2,1369,224,1606,559
52,3,1103,261,1276,707
52,5,1063,38,1217,375
52,6,733,252,875,602
53,1,1621,200,1810,551
53,2,1352,218,1593,563
53,3,1084,266,1266,736
53,5,1064,35,1221,379
53,6,747,261,882,601
54,1,1621,198,1811,550
54,2,1347,217,1587,565
54,3,1070,270,1257,749
54,5,1071,34,1219,354
54,6,755,261,887,600
55,1,1622,199,1811,549
55,2,1346,218,1582,566
55,3,1057,279,1247,755
55,5,1072,34,1221,353
55,6,760,252,894,599
56,1,1623,201,1811,548
56,2,1347,219,1580,566
56,3,1047,286,1241,757
56,5,1071,37,1219,354
56,6,759,254,890,602
57,1,1622,199,1813,550
57,2,1348,219,1577,566
57,3,1038,286,1243,762
57,5,1070,44,1221,364
57,6,763,253,888,594
58,1,1622,198,1814,552
58,2,1350,219,1576,566
58,3,1044,289,1254,759
58,5,1066,47,1218,366
58,6,769,250,892,593
59,1,1623,199,1814,552
59,2,1351,220,1573,565
59,3,1037,288,1257,764
59,5,1065,51,1217,366
59,6,774,243,895,582
60,1,1622,197,1813,552
60,2,1351,220,1571,565
60,3,1028,295,1256,762
60,5,1062,56,1214,368
60,6,786,242,906,570
61,1,1622,194,1813,551
61,2,1353,218,1573,566
61,3,1021,296,1258,761
61,5,1059,63,1211,368
61,6,787,242,905,563
62,1,1622,191,1814,550
62,2,1353,218,1573,566
62,3,1014,297,1262,761
62,5,1054,65,1209,372
62,6,788,240,904,559
63,1,1622,189,1813,548
63,2,1354,218,1575,567
63,3,1009,300,1264,762
63,5,1048,68,1206,376
63,6,792,234,907,553
64,1,1624,190,1811,545
64,2,1354,218,1575,567
64,3,1003,298,1268,767
64,5,1042,69,1204,380
64,6,793,232,904,545
65,1,1621,189,1809,544
65,2,1352,217,1573,567
65,3,1002,296,1275,774
65,5,1036,71,1201,382
65,6,793,227,906,548
66,1,1619,186,1805,540
66,2,1353,217,1573,567
66,3,999,295,1281,789
66,5,1030,70,1199,385
66,6,821,221,941,544
67,1,1613,184,1801,539
67,2,1370,220,1588,563
67,3,996,298,1284,803
67,5,1028,75,1197,386
67,6,803,222,925,555
68,1,1605,182,1796,541
68,2,1359,218,1578,565
68,3,992,304,1282,817
68,5,1026,74,1199,389
68,6,822,216,952,555
69,1,1601,182,1793,540
69,2,1354,218,1572,566
69,3,992,312,1278,822
69,5,1023,74,1200,395
69,6,808,220,937,556
70,1,1599,181,1793,543
70,2,1355,218,1573,566
70,3,992,323,1282,846
70,5,1021,74,1204,403
70,6,800,224,925,553
71,1,1597,181,1791,541
71,2,1354,218,1572,567
71,3,994,323,1289,862
71,5,1013,74,1212,436
71,6,802,226,927,550
72,1,1593,181,1788,539
72,2,1353,217,1570,567
72,3,1003,324,1299,874
72,5,1008,76,1224,476
72,6,798,225,922,548
73,1,1591,180,1786,537
73,2,1354,215,1572,568
73,3,1020,338,1308,884
73,5,1014,87,1225,486
73,6,803,221,932,548
74,1,1592,177,1786,535
74,2,1353,215,1568,566
74,3,1042,352,1318,886
74,5,1018,96,1224,492
74,6,805,220,939,558
75,1,1589,176,1785,535
75,2,1354,215,1569,567
75,3,1064,368,1326,888
75,5,1018,90,1230,508
75,6,807,221,940,547
76,1,1586,177,1782,534
76,2,1355,214,1570,567
76,3,1084,380,1335,886
76,5,1023,88,1233,513
76,6,807,226,941,551
77,1,1588,178,1782,534
77,2,1354,214,1571,566
77,3,1101,389,1345,887
77,5,1029,89,1233,512
77,6,804,230,939,550
78,1,1589,178,1782,534
78,2,1354,217,1566,561
78,3,1116,396,1353,884
78,5,1034,91,1233,515
78,6,802,235,939,552
79,1,1590,179,1782,533
79,2,1353,215,1569,567
79,3,1127,406,1362,892
79,5,1036,94,1234,526
79,6,798,240,941,565
80,1,1590,179,1781,533
80,2,1353,215,1568,566
80,3,1138,418,1378,915
80,5,1040,101,1236,536
80,6,797,243,940,566
81,1,1593,180,1783,530
81,2,1354,217,1565,562
81,3,1149,427,1400,953
81,5,1045,105,1237,543
81,6,795,245,940,567
82,1,1601,182,1788,529
82,2,1357,217,1567,559
82,3,1159,441,1418,988
82,5,1047,108,1236,544
82,6,790,251,941,584
83,1,1606,184,1790,526
83,2,1356,214,1572,564
83,3,1173,466,1433,1020
83,5,1046,114,1237,561
83,6,788,255,938,587
84,1,1613,182,1796,530
84,2,1356,216,1569,559
